n,Class,Row,Column,Field,Mean/s.d.,%SatPix,MaxCount,MonoAreaFraction,Cells,MonolayerArea(mm2),Cells/mm2
1,HQ,A,1,1,0.8231,0,0.9257,0.8729,2,0.1253,15.9617
2,HQ,A,1,2,0.7649,0,0.8019,0.7965,2,0.1143,17.4918
3,HQ,A,1,3,0.8225,0,0.8885,0.8669,6,0.1244,48.2154
4,IM,A,2,1,0.3504,0,0.09598,0.1407,2,0.0202,98.9886
5,IM,A,2,2,0.338,0,0.2198,0.2071,1,0.02973,33.638
6,IM,A,2,3,0.3155,0,0.09907,0.1313,2,0.01886,106.0723
7,SA,A,3,1,0.6897,1.3367,0.9938,0.8864,10,0.1272,78.5883
8,SA,A,3,2,0.6367,1.7822,0.8452,0.8057,1,0.1157,8.6458
9,SA,A,3,3,0.7326,1.1719,1,0.9169,1,0.1316,7.5978
10,NC,A,4,1,6.199,0,0,0.1152,1,0.01654,60.4522
11,NC,A,4,2,4.2388,0,0,0.01251,1,0.001796,556.7504
12,NC,A,4,3,6.5956,0,0,0.3651,1,0.0524,19.0827
13,HQ,B,1,1,0.83,0,0.9071,0.8517,11,0.1223,89.9658
14,HQ,B,1,2,0.7708,0,0.8885,0.8376,6,0.1202,49.8982
15,HQ,B,1,3,0.8206,0,0.8947,0.8657,6,0.1243,48.2834
16,IM,B,2,1,0.3583,0,0.1641,0.2006,5,0.02879,173.6668
17,IM,B,2,2,0.3483,0,0.1238,0.1187,1,0.01704,58.6806
18,IM,B,2,3,0.5211,0,0.3746,0.455,4,0.06532,61.2388
19,SA,B,3,1,0.7279,0.7324,0.9288,0.8676,2,0.1245,16.0594
20,SA,B,3,2,0.5673,0.2136,0.6316,0.66,10,0.09474,105.5524
21,SA,B,3,3,0.4965,1.3123,0.6006,0.6514,12,0.09351,128.3244
22,NC,B,4,1,4.3531,0,0.003096,0.02307,1,0.003312,301.9414
23,NC,B,4,2,8.0302,0,0,0.1265,1,0.01816,55.0573
24,NC,B,4,3,5.1462,0,0,0.1065,1,0.01529,65.4062
